job_id,source_job_id,alias_no,alias_name
JT0439,439,1,通関業務係
JT0439,439,2,輸出入事務員
JT0440,440,1,保険金支払係事務員
JT0440,440,2,損害保険事務員
JT0441,441,1,テレコミュニケーター
JT0441,441,2,通信販売受付事務員（電話によるもの）
JT0441,441,3,インターネット通信販売受付事務員
JT0441,441,4,ネットショップオペレーター
JT0443,443,1,健康保険請求事務員
JT0443,443,2,歯科医療請求事務員
JT0443,443,3,病院受付係
JT0443,443,4,病棟クラーク
JT0443,443,5,診療情報管理係事務員
JT0443,443,6,診療報酬請求事務員
JT0444,444,1,広報係事務員
JT0446,446,1,企業法務事務員
JT0447,447,1,コンプライアンスオフィサー（法令遵守責任者）
JT0447,447,2,コンプライアンス担当事務員
JT0448,448,1,医薬品登録販売者
JT0448,448,2,ドラッグストア店員（医薬品登録販売者）
JT0450,450,1,携帯電話販売店員
JT0450,450,2,携帯電話ショップ店員
JT0450,450,3,携帯電話ショップ販売員
JT0450,450,4,携帯電話販売員
JT0452,452,1,システム営業部員
JT0452,452,2,システム開発営業員
JT0452,452,3,IT営業員
JT0453,453,1,生命保険営業員
JT0453,453,2,損害保険営業員
JT0454,454,1,銀行渉外係
JT0454,454,2,信用金庫渉外係
JT0454,454,3,信用組合渉外係
JT0455,455,1,為替ディーラー
JT0456,456,1,マーケッター
JT0456,456,2,マーケター
JT0461,461,1,商品企画開発事務員（チェーンストア）
JT0462,462,1,技術営業員（電気機器）
JT0462,462,2,セールスエンジニア（電気機器）
JT0462,462,3,OA機器営業員
JT0463,463,1,証券営業員
JT0464,464,1,化粧品販売員
JT0464,464,2,美容部員（化粧品販売）
JT0465,465,1,化粧品訪問販売員
JT0466,466,1,清涼飲料ルートセールス員
JT0467,467,1,自転車販売店員
JT0468,468,1,保険数理人
JT0468,468,2,年金数理人
JT0472,472,1,ソリシター
JT0473,473,1,マンション管理人
JT0473,473,2,アパート管理人
JT0473,473,3,下宿管理人
JT0473,473,4,住込管理人（マンション）
JT0474,474,1,フロント
JT0475,475,1,建設現場交通誘導員
JT0475,475,2,交通誘導員
JT0475,475,3,イベント警備員
JT0475,475,4,催事警備員
JT0475,475,5,会場警備員
JT0475,475,6,会場整理員
JT0476,476,1,ボイラー技士
JT0477,477,1,大型トラック運転手
JT0477,477,2,小型トラック運転手
JT0477,477,3,中型トラック運転手
JT0477,477,4,トラック運転手（冷蔵・冷凍車）
JT0478,478,1,貨物トレーラー運転手
JT0478,478,2,キャリアカー（トレーラー）運転手
JT0478,478,3,車載専用車（トレーラー）運転手
JT0478,478,4,タンクローリー（トレーラー）運転手
JT0478,478,5,バルク車（トレーラー）運転手
JT0478,478,6,バルクトレーラー運転手
JT0479,479,1,ダンプ運転手
JT0479,479,2,ダンプトラック運転手
JT0480,480,1,自家用バス運転手
JT0480,480,2,シャトルバス運転手
JT0480,480,3,スクールバス運転手
